fname,id,context,question,answer
Antepartum care_Dr Pronov.docx,2,গর্ভাবস্থায় অতিরিক্ত বমি বা হাইপারএমেসিস গ্রাভিডেরাম,গর্ভাবস্থায় হাইপারএমেসিস গ্র্যাভিডেরাম এর লক্ষণ কি?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 2, 'context': 'গর্ভাবস্থায় অতিরিক্ত বমি বা হাইপারএমেসিস গ্রাভিডেরাম', 'question': 'গর্ভাবস্থায় হাইপারএমেসিস গ্র্যাভিডেরাম এর লক্ষণ কি?'}"
Antepartum care_Dr Pronov.docx,4,গর্ভাবস্থায় অতিরিক্ত বমি বা হাইপারএমেসিস গ্রাভিডেরাম,গর্ভাবস্থায় হাইপারএমেসিস গ্র্যাভিডেরাম এর চিকিৎসা কি?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 4, 'context': 'গর্ভাবস্থায় অতিরিক্ত বমি বা হাইপারএমেসিস গ্রাভিডেরাম', 'question': 'গর্ভাবস্থায় হাইপারএমেসিস গ্র্যাভিডেরাম এর চিকিৎসা কি?'}"
Antepartum care_Dr Pronov.docx,6,গর্ভাবস্থায় অতিরিক্ত বমি বা হাইপারএমেসিস গ্রাভিডেরাম,গর্ভাবস্থায় হাইপারএমেসিস গ্র্যাভিডেরামের অন্য আরও কী কী উপসর্গ থাকতে পারে?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 6, 'context': 'গর্ভাবস্থায় অতিরিক্ত বমি বা হাইপারএমেসিস গ্রাভিডেরাম', 'question': 'গর্ভাবস্থায় হাইপারএমেসিস গ্র্যাভিডেরামের অন্য আরও কী কী উপসর্গ থাকতে পারে?'}"
Antepartum care_Dr Pronov.docx,9,গর্ভাবস্থায় অনিদ্রা,গর্ভাবস্থায় অনিদ্রার কারণ সমূহ কি কি?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 9, 'context': 'গর্ভাবস্থায় অনিদ্রা', 'question': 'গর্ভাবস্থায় অনিদ্রার কারণ সমূহ কি কি?'}"
Antepartum care_Dr Pronov.docx,11,গর্ভাবস্থায় অনিদ্রা,গর্ভাবস্থায় অনিদ্রার ঘরোয়া চিকিৎসা কি?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 11, 'context': 'গর্ভাবস্থায় অনিদ্রা', 'question': 'গর্ভাবস্থায় অনিদ্রার ঘরোয়া চিকিৎসা কি?'}"
Antepartum care_Dr Pronov.docx,12,গর্ভাবস্থায় অনিদ্রা,গর্ভাবস্থায় অনিদ্রার ঔষধ কি?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 12, 'context': 'গর্ভাবস্থায় অনিদ্রা', 'question': 'গর্ভাবস্থায় অনিদ্রার ঔষধ কি?'}"
Antepartum care_Dr Pronov.docx,14,গর্ভকালীন অবসাদ,গর্ভাবস্থায় অবসাদের কারণ কী?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 14, 'context': 'গর্ভকালীন অবসাদ', 'question': 'গর্ভাবস্থায় অবসাদের কারণ কী?'}"
Antepartum care_Dr Pronov.docx,16,গর্ভকালীন অবসাদ,গর্ভকালীন অবসাদ থেকে প্রতিকারের উপায় কি?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 16, 'context': 'গর্ভকালীন অবসাদ', 'question': 'গর্ভকালীন অবসাদ থেকে প্রতিকারের উপায় কি?'}"
Antepartum care_Dr Pronov.docx,17,গর্ভকালীন অবসাদ,মাস অনুযায়ী গর্ভকালীন অবসাদ কেমন হয়?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 17, 'context': 'গর্ভকালীন অবসাদ', 'question': 'মাস অনুযায়ী গর্ভকালীন অবসাদ কেমন হয়?'}"
Antepartum care_Dr Pronov.docx,47,গর্ভকালীন উচ্চ রক্তচাপ,গর্ভাবস্থায় উচ্চ রক্তচাপ কি?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 47, 'context': 'গর্ভকালীন উচ্চ রক্তচাপ', 'question': 'গর্ভাবস্থায় উচ্চ রক্তচাপ কি?'}"
Antepartum care_Dr Pronov.docx,48,গর্ভকালীন উচ্চ রক্তচাপ,গর্ভকালীন উচ্চ রক্তচাপের ধরন কেমন হয়?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 48, 'context': 'গর্ভকালীন উচ্চ রক্তচাপ', 'question': 'গর্ভকালীন উচ্চ রক্তচাপের ধরন কেমন হয়?'}"
Antepartum care_Dr Pronov.docx,49,গর্ভকালীন উচ্চ রক্তচাপ,গর্ভাবস্থায় ব্লাড প্রেসারের ব্যাপারে কিভাবে সতর্ক থাকা যায়?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 49, 'context': 'গর্ভকালীন উচ্চ রক্তচাপ', 'question': 'গর্ভাবস্থায় ব্লাড প্রেসারের ব্যাপারে কিভাবে সতর্ক থাকা যায়?'}"
Antepartum care_Dr Pronov.docx,50,গর্ভকালীন উচ্চ রক্তচাপ,গর্ভাবস্থায় ব্লাড প্রেসার বেড়ে গেলে করণীয় কি?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 50, 'context': 'গর্ভকালীন উচ্চ রক্তচাপ', 'question': 'গর্ভাবস্থায় ব্লাড প্রেসার বেড়ে গেলে করণীয় কি?'}"
Antepartum care_Dr Pronov.docx,51,গর্ভকালীন উচ্চ রক্তচাপ,গর্ভাবস্থায় উচ্চ রক্তচাপ জনিত জটিলতা কি কি হতে পারে?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 51, 'context': 'গর্ভকালীন উচ্চ রক্তচাপ', 'question': 'গর্ভাবস্থায় উচ্চ রক্তচাপ জনিত জটিলতা কি কি হতে পারে?'}"
Antepartum care_Dr Pronov.docx,54,এক্টোপিক প্রেগন্যান্সি,এক্টোপিক প্রেগন্যান্সির লক্ষণ কি?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 54, 'context': 'এক্টোপিক প্রেগন্যান্সি', 'question': 'এক্টোপিক প্রেগন্যান্সির লক্ষণ কি?'}"
Antepartum care_Dr Pronov.docx,56,এক্টোপিক প্রেগন্যান্সি,এক্টোপিক প্রেগন্যান্সি হলে কখন জরুরী ভিত্তিতে ডাক্তারের কাছে যেতে হবে?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 56, 'context': 'এক্টোপিক প্রেগন্যান্সি', 'question': 'এক্টোপিক প্রেগন্যান্সি হলে কখন জরুরী ভিত্তিতে ডাক্তারের কাছে যেতে হবে?'}"
Antepartum care_Dr Pronov.docx,57,এক্টোপিক প্রেগন্যান্সি,এক্টোপিক প্রেগন্যান্সির চিকিৎসা কি?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 57, 'context': 'এক্টোপিক প্রেগন্যান্সি', 'question': 'এক্টোপিক প্রেগন্যান্সির চিকিৎসা কি?'}"
Antepartum care_Dr Pronov.docx,58,এক্টোপিক প্রেগন্যান্সি,এক্টোপিক প্রেগন্যান্সির পরে মানসিক চাপ হলে করণীয় কি?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 58, 'context': 'এক্টোপিক প্রেগন্যান্সি', 'question': 'এক্টোপিক প্রেগন্যান্সির পরে মানসিক চাপ হলে করণীয় কি?'}"
Antepartum care_Dr Pronov.docx,59,এক্টোপিক প্রেগন্যান্সি,এক্টোপিক প্রেগন্যান্সি হবার কতদিন পর সন্তান নেবার চেষ্টা করবেন?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 59, 'context': 'এক্টোপিক প্রেগন্যান্সি', 'question': 'এক্টোপিক প্রেগন্যান্সি হবার কতদিন পর সন্তান নেবার চেষ্টা করবেন?'}"
Antepartum care_Dr Pronov.docx,60,এক্টোপিক প্রেগন্যান্সি,এক্টোপিক প্রেগন্যান্সি কেন হয়?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 60, 'context': 'এক্টোপিক প্রেগন্যান্সি', 'question': 'এক্টোপিক প্রেগন্যান্সি কেন হয়?'}"
Antepartum care_Dr Pronov.docx,101,গর্ভাবস্থায় কোমর ব্যথা,গর্ভাবস্থায় কোমর ব্যথা কখন হয় ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 101, 'context': 'গর্ভাবস্থায় কোমর ব্যথা', 'question': 'গর্ভাবস্থায় কোমর ব্যথা কখন হয় ?'}"
Antepartum care_Dr Pronov.docx,102,গর্ভাবস্থায় কোমর ব্যথা,গর্ভাবস্থায় কোমর ব্যথা সারানোর উপায় সমূহ কি কি?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 102, 'context': 'গর্ভাবস্থায় কোমর ব্যথা', 'question': 'গর্ভাবস্থায় কোমর ব্যথা সারানোর উপায় সমূহ কি কি?'}"
Antepartum care_Dr Pronov.docx,111,গর্ভাবস্থায় কোষ্ঠকাঠিন্য,গর্ভাবস্থায় কোষ্ঠকাঠিন্য হতে পারে কি ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 111, 'context': 'গর্ভাবস্থায় কোষ্ঠকাঠিন্য', 'question': 'গর্ভাবস্থায় কোষ্ঠকাঠিন্য হতে পারে কি ?'}"
Antepartum care_Dr Pronov.docx,113,গর্ভাবস্থায় কোষ্ঠকাঠিন্য,গর্ভাবস্থায় কোষ্ঠকাঠিন্য হয়েছে কি না তা কীভাবে বুঝবেন?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 113, 'context': 'গর্ভাবস্থায় কোষ্ঠকাঠিন্য', 'question': 'গর্ভাবস্থায় কোষ্ঠকাঠিন্য হয়েছে কি না তা কীভাবে বুঝবেন?'}"
