A,B,distance
মিলনের সময় কনডম পুরুষ লিঙ্গে পরা হয় যেন বীর্য সঙ্গীর যোনীতে প্রবেশ করতে না পারে। কনডমটি পরতে হবে যখন পুরুষ লিঙ্গ উত্তেজিত থাকবে এবং সঙ্গীর দেহে প্রবেশ করার পুর্বে। অনাকাঙ্খিত গর্ভাবস্থা সৃষ্টি অথবা যৌন বাহিত সংক্রমণ এরাতে এটি ব্যাবহার করা হয় ।,মিলনের সময় কনডম পুরুষ লিঙ্গে পরা হয় যেন বীর্য সঙ্গীর যোনীতে প্রবেশ করতে না পারে। কনডমটি পরতে হবে যখন পুরুষ লিঙ্গ উত্তেজিত থাকবে এবং সঙ্গীর দেহে প্রবেশ করার পুর্বে। অনাকাঙ্খিত গর্ভাবস্থা সৃষ্টি অথবা যৌন বাহিত সংক্রমণ এরাতে এটি ব্যাবহার করা হয় ।,0.0
"আপনি সারা সপ্তাহে প্রতিদিন ১০ ঘণ্টা করে কাজ করেও সুস্থ বোধ করেন। কিন্তু ছুটির দিন ভালো ঘুম দিয়ে উঠে দেখেন তীব্র ব্যথায় আপনার মাথা টনটন করছে। কেন এমন হয়? কারণটার ব্যখ্যা জটিল, তবে সমাধানটা সহজ। আপনি চাইলে কারণ না পড়ে সরাসরি নিচে সমাধানে পড়তে পারেন।কারণ: পুরো সপ্তাহের মানসিক চাপ শেষ হয়ে যাওয়ার ফলে শরীরের স্ট্রেস হরমোনর নিঃসরণের পরিমাণ কমে যায়। এর ফলে দ্রুতই মস্তিষ্কে নিউরোট্রান্সমিটার নামের বার্তা বহনকারী কিছু রাসায়নিক পদার্থের ক্ষরণ বেড়ে যায়। এই পদার্থগুলো রক্তনালীকে প্রথমে সংকুচিত ও পরে প্রসারিত করার নির্দেশ পাঠায়, যার ফলে মাথাব্যথা হয়।



সমাধান:সপ্তাহ শেষে ছুটির দিনে বেশি ঘুমানোর লোভ সংবরণ করুন। আট ঘন্টার বেশি ঘুমানোর কারণে মাথাব্যথা হতে পারে। সবটুকু বিশ্রাম সপ্তাহের শেষে ছুটির দিনে নেবার জন্য রেখে দিবেন না। মানসিক প্রশান্তি আনে এমন কিছু কাজ, যেমন যোগব্যায়াম, সপ্তাহের মাঝখানেই করার চেষ্টা করুন।","আপনি সারা সপ্তাহে প্রতিদিন ১০ ঘণ্টা করে কাজ করেও সুস্থ বোধ করেন। কিন্তু ছুটির দিন ভালো ঘুম দিয়ে উঠে দেখেন তীব্র ব্যথায় আপনার মাথা টনটন করছে। কেন এমন হয়? কারণটার ব্যখ্যা জটিল, তবে সমাধানটা সহজ। আপনি চাইলে কারণ না পড়ে সরাসরি নিচে সমাধানে পড়তে পারেন।



কারণ: পুরো সপ্তাহের মানসিক চাপ শেষ হয়ে যাওয়ার ফলে শরীরের স্ট্রেস হরমোন (শারীরিক ও মানসিক চাপ বেড়ে গেলে নিঃসৃত বিশেষ হরমোন) নিঃসরণের পরিমাণ কমে যায়। এর ফলে দ্রুতই মস্তিষ্কে নিউরোট্রান্সমিটার নামের বার্তা বহনকারী কিছু রাসায়নিক পদার্থের ক্ষরণ বেড়ে যায়। এই পদার্থগুলো রক্তনালীকে প্রথমে সংকুচিত ও পরে প্রসারিত করার নির্দেশ পাঠায়, যার ফলে মাথাব্যথা হয়।সমাধান:সপ্তাহ শেষে ছুটির দিনে বেশি ঘুমানোর লোভ সংবরণ করুন। আট ঘন্টার বেশি ঘুমানোর কারণে মাথাব্যথা হতে পারে। সবটুকু বিশ্রাম সপ্তাহের শেষে ছুটির দিনে নেবার জন্য রেখে দিবেন না। মানসিক প্রশান্তি আনে এমন কিছু কাজ, যেমন যোগব্যায়াম, সপ্তাহের মাঝখানেই করার চেষ্টা করুন।",0.679814385150812
"আপনি যখন রেগে যান, তখন আপনার ঘাড়ের পেছনের মাংসপেশি ও মাথার ত্বক টানটান হয়ে মাথার চারিদিকে একটি আঁটসাঁট ব্যান্ড পরে থাকার মত অনুভূতি হয়। এটি দুশ্চিন্তাজনিত মাথাব্যথা বা টেনশন-টাইপ মাথাব্যথার একটি লক্ষণ।","আপনি যখন রেগে যান, তখন আপনার ঘাড়ের পেছনের মাংসপেশি ও মাথার ত্বক টানটান হয়ে মাথার চারিদিকে একটি আঁটসাঁট ব্যান্ড পরে থাকার মত অনুভূতি হয়। এটি দুশ্চিন্তাজনিত মাথাব্যথা বা টেনশন-টাইপ মাথাব্যথার একটি লক্ষণ।",0.0
আপনার রাগ ওঠা শুরু হলে বুক ভরে ধীরে ধীরে শ্বাস নিন। নাক দিয়ে শ্বাস নিন আর মুখ দিয়ে বের করে দিন। এতে আপনার মাথা ও ঘাড়ের পেশি শিথিল হবে।,আপনার রাগ ওঠা শুরু হলে বুক ভরে ধীরে ধীরে শ্বাস নিন। নাক দিয়ে শ্বাস নিন আর মুখ দিয়ে বের করে দিন। এতে আপনার মাথা ও ঘাড়ের পেশি শিথিল হবে।,0.0
"অনেকে ভাবেন ওজন কমানোর জন্য মানুষ ব্যায়াম করবে। কিন্তু পুষ্টিবিদেরা বলছেন, ওজন কমাতে যেমন ব্যায়াম প্রয়োজন, ঠিক তেমনি  মানসিক চাপ কমাতেও ব্যায়াম করা দরকার।



প্রতিদিন নিয়ম করে ব্যায়াম করলে ক্ষুধা বাড়বে, হজম প্রক্রিয়া ভালো হবে এবং ঘুম ভালো হবে।



এজন্য জিমে যেতে পারেন, চাইলে ফ্রি-হ্যান্ড এক্সারসাইজ করতে পারেন, কিংবা ইয়োগা, সাইক্লিং বা সাঁতারও কাটতে পারেন।



শারীরিক কসরতের সাথে মানসিক প্রশান্তির জন্য ইয়োগা করতে পারেন।","অনেকে ভাবেন ওজন কমানোর জন্য মানুষ ব্যায়াম করবে। কিন্তু পুষ্টিবিদেরা বলছেন, ওজন কমাতে যেমন ব্যায়াম প্রয়োজন, ঠিক তেমনি  মানসিক চাপ কমাতেও ব্যায়াম করা দরকার।



প্রতিদিন নিয়ম করে ব্যায়াম করলে ক্ষুধা বাড়বে, হজম প্রক্রিয়া ভালো হবে এবং ঘুম ভালো হবে।



এজন্য জিমে যেতে পারেন, চাইলে ফ্রি-হ্যান্ড এক্সারসাইজ করতে পারেন, কিংবা ইয়োগা, সাইক্লিং বা সাঁতারও কাটতে পারেন।



শারীরিক কসরতের সাথে মানসিক প্রশান্তির জন্য ইয়োগা করতে পারেন।",0.0
"শরীরকে যথাযথ কাজ করানোর অবস্থায় সুস্থ রাখার জন্য ঘুম খুবই প্রয়োজন।



ওজন বাড়ানোর জন্যও একথা সত্য। প্রতিদিন ৬-৮ ঘণ্টা অবশ্যই ঘুমাতে হবে।



ঘুম এর থেকে কম হওয়া যাবে না। কারণ পর্যাপ্ত ঘুম না হলে শরীরে যাওয়া খাবার ঠিকমত হজম হবে না, এবং শরীরে পুষ্টির যোগান ঠিকমত হবে না।



ঘুম যাতে পর্যাপ্ত হয়, সেজন্য সময়মত ঘুমাতে যাওয়া এবং ঘুমানোর আগে একটু হালকা ব্যায়াম করার অভ্যাস করা যেতে পারে।","শরীরকে যথাযথ কাজ করানোর অবস্থায় সুস্থ রাখার জন্য ঘুম খুবই প্রয়োজন।



ওজন বাড়ানোর জন্যও একথা সত্য। প্রতিদিন ৬-৮ ঘণ্টা অবশ্যই ঘুমাতে হবে।



ঘুম এর থেকে কম হওয়া যাবে না। কারণ পর্যাপ্ত ঘুম না হলে শরীরে যাওয়া খাবার ঠিকমত হজম হবে না, এবং শরীরে পুষ্টির যোগান ঠিকমত হবে না।



ঘুম যাতে পর্যাপ্ত হয়, সেজন্য সময়মত ঘুমাতে যাওয়া এবং ঘুমানোর আগে একটু হালকা ব্যায়াম করার অভ্যাস করা যেতে পারে।",0.0
"স্ট্রেসের সাথে আমরা সবাই-ই কম বেশি পরিচিত। আমাদের নগরজীবনের এক নিয়মিত সমস্যা “স্ট্রেস” যেটি আমাদের আরো অনেক শারীরিক এবং মানসিক রোগের অন্যতম প্রধান কারণ। স্ট্রেস থেকে রক্ষা পেতে অনেকেই অনেক কিছু করেন–তবে আপনি যদি জীবনের চাপ বা এই স্ট্রেসকে পাশ কাটিয়ে দীর্ঘ সুস্থ জীবন চান তবে সবচাইতে সহজ সমাধান হলো: ব্যায়াম করা শুরু করুন। 



চলুন প্রথমেই জেনে নেই স্ট্রেস প্রতিরোধে আমাদের কতটা ব্যায়াম করা দরকার।



স্ট্রেসকে দূরে রাখতে প্রতি সপ্তাহে কমপক্ষে ১৫০ মিনিট অর্থাৎ কমপক্ষে পাঁচ দিন ৩০ মিনিট মাঝারি “অ্যারোবিক” ব্যায়ামের পরামর্শ দেয় আমেরিকান হার্ট অ্যাসোসিয়েশন। যদি আপনার সময় কম থাকে, পুরো ৩০ মিনিটের সেশনটি সারাদিনে তিনবার ১০-মিনিট করে ভেঙে ভেঙে করতে পারেন।



এর পাশাপাশি আপনার সাপ্তাহিক রুটিনে পেশি শক্তিশালী করার ব্যায়ামগুলোর কমপক্ষে দুইটি সেশন রাখা জরুরি। এ ব্যায়ামগুলো  আপনার বাহু, কাঁধ, বুক, পিঠ, পেট, পা এবং অন্যান্য পেশিকে সবল রাখতে সহায়তা করে।



তবে যত সহজে বলে দেওয়া গেল নিয়মিত ব্যায়াম করা যে ততটা সহজ না সেটা আমরা সবাই-ই জানি। এজন্য প্রয়োজন অভ্যাসের। শরীরচর্চার সাথে ধীরে ধীরে আপনার শরীরকে মানিয়ে নিন। প্রথমে না হয় সপ্তাহে তিন দিন ২০ মিনিট করে জোরে জোরে হাঁটুন এবং পরে সেখান থেকে ধীরে ধীরে বাড়ান।



কী ধরনের ব্যায়াম স্ট্রেস থেকে মুক্তি দেয়? 



স্ট্রেস কমানোর জন্য যেসব ব্যায়াম–সেগুলো করার জন্য আপনাকে ক্রীড়াবিদ হতে হবে না। প্রায় যেকোনো ধরনের ব্যায়াম সহায়ক হতে পারে। মূল কথা হলো ঘাম ঝরতে হবে, হার্টবিট স্বাভাবিকের চেয়ে দ্বিগুণ করে বেশ কিছুক্ষণ ধরে রাখতে হবে। মাঝারি মানের যে-কোনো ব্যায়ামই এগুলোর জন্য যথেষ্ট। 



মাঝারি অ্যারোবিক ব্যায়ামের মধ্যে আছে:

* সাইকেল চালানো

* দ্রুত হাঁটা বা জগিং

* সাঁতার কাটা 

* টেনিস 

* নাচ

* রোয়িং

* এমনকি শীতকালের প্রিয় খেলা ব্যাডমিন্টন



পেশি-শক্তিশালী ব্যায়ামের ক্ষেত্রে ভারোত্তলনকে বিবেচনা করতে পারেন।



এমনকি বাগান করা বা লিফটের পরিবর্তে সিঁড়ি বেয়ে ওঠার মতো সহজ কিছু ব্যায়ামও আপনার স্ট্রেস কমিয়ে দিতে পারে।



“ব্যায়াম” শব্দটা শুনলেই আমরা অনেকে ভয় পেয়ে যাই। এই ভয়টা দূর করতে হবে। তাই আপনি উপভোগ করেন এমন কোনো শরীরচর্চা দিয়ে শুরু করা ভালো। আপনি আনন্দে থাকলে ব্যায়াম আপনার দৈনন্দিন কাজের অংশ হয়ে উঠবে, তখন আর এটাকে বোঝা মনে হবে না।



ব্যায়ামের ভীতি কাটানোর একটা ভালো উপায় হলো বন্ধু বা পরিবারের সাথে মিলে একসাথে শরীরচর্চা করা। যেমন দুই বন্ধু মিলে দৌড়ান বা সাঁতার কাটেন কিংবা পরিবারের সবাইকে নিয়ে হাঁটতে বের হন। এতে ব্যায়ামের শারীরবৃত্তীয় উপকারগুলো বেড়ে যায় এবং পাশাপাশি বন্ধু বা পরিবারের সাথে সম্পর্কটাও আরো ভালো হয়ে ওঠে, যা স্ট্রেস কমাতে আরো বেশি সাহায্য করে। 



তবে সব বয়সের জন্য সব ধরনের ব্যায়াম নয়। আপনার বয়স এবং শারীরিক সক্ষমতার ওপর নির্ভর করেই কোন ধরনের ব্যায়াম করবেন এবং কতক্ষণ করবেন সেটা ঠিক করে নেওয়া উচিত। প্রয়োজনে আপনার ডাক্তারকে জিজ্ঞাসা করুন, তিনি আপনাকে আপনার শরীরের ফিটনেস অনুযায়ী পরামর্শ দিবেন।","স্ট্রেসের সাথে আমরা সবাই-ই কম বেশি পরিচিত। আমাদের নগরজীবনের এক নিয়মিত সমস্যা “স্ট্রেস” যেটি আমাদের আরো অনেক শারীরিক এবং মানসিক রোগের অন্যতম প্রধান কারণ। স্ট্রেস থেকে রক্ষা পেতে অনেকেই অনেক কিছু করেন–তবে আপনি যদি জীবনের চাপ বা এই স্ট্রেসকে পাশ কাটিয়ে দীর্ঘ সুস্থ জীবন চান তবে সবচাইতে সহজ সমাধান হলো: ব্যায়াম করা শুরু করুন। 



চলুন প্রথমেই জেনে নেই স্ট্রেস প্রতিরোধে আমাদের কতটা ব্যায়াম করা দরকার।



স্ট্রেসকে দূরে রাখতে প্রতি সপ্তাহে কমপক্ষে ১৫০ মিনিট অর্থাৎ কমপক্ষে পাঁচ দিন ৩০ মিনিট মাঝারি “অ্যারোবিক” ব্যায়ামের পরামর্শ দেয় আমেরিকান হার্ট অ্যাসোসিয়েশন। যদি আপনার সময় কম থাকে, পুরো ৩০ মিনিটের সেশনটি সারাদিনে তিনবার ১০-মিনিট করে ভেঙে ভেঙে করতে পারেন।



এর পাশাপাশি আপনার সাপ্তাহিক রুটিনে পেশি শক্তিশালী করার ব্যায়ামগুলোর কমপক্ষে দুইটি সেশন রাখা জরুরি। এ ব্যায়ামগুলো  আপনার বাহু, কাঁধ, বুক, পিঠ, পেট, পা এবং অন্যান্য পেশিকে সবল রাখতে সহায়তা করে।



তবে যত সহজে বলে দেওয়া গেল নিয়মিত ব্যায়াম করা যে ততটা সহজ না সেটা আমরা সবাই-ই জানি। এজন্য প্রয়োজন অভ্যাসের। শরীরচর্চার সাথে ধীরে ধীরে আপনার শরীরকে মানিয়ে নিন। প্রথমে না হয় সপ্তাহে তিন দিন ২০ মিনিট করে জোরে জোরে হাঁটুন এবং পরে সেখান থেকে ধীরে ধীরে বাড়ান।



কী ধরনের ব্যায়াম স্ট্রেস থেকে মুক্তি দেয়? 



স্ট্রেস কমানোর জন্য যেসব ব্যায়াম–সেগুলো করার জন্য আপনাকে ক্রীড়াবিদ হতে হবে না। প্রায় যেকোনো ধরনের ব্যায়াম সহায়ক হতে পারে। মূল কথা হলো ঘাম ঝরতে হবে, হার্টবিট স্বাভাবিকের চেয়ে দ্বিগুণ করে বেশ কিছুক্ষণ ধরে রাখতে হবে। মাঝারি মানের যে-কোনো ব্যায়ামই এগুলোর জন্য যথেষ্ট। 



মাঝারি অ্যারোবিক ব্যায়ামের মধ্যে আছে:



* সাইকেল চালানো

* দ্রুত হাঁটা বা জগিং

* সাঁতার কাটা 

* টেনিস 

* নাচ

* রোয়িং

* এমনকি শীতকালের প্রিয় খেলা ব্যাডমিন্টন



পেশি-শক্তিশালী ব্যায়ামের ক্ষেত্রে ভারোত্তলনকে বিবেচনা করতে পারেন।



এমনকি বাগান করা বা লিফটের পরিবর্তে সিঁড়ি বেয়ে ওঠার মতো সহজ কিছু ব্যায়ামও আপনার স্ট্রেস কমিয়ে দিতে পারে।



“ব্যায়াম” শব্দটা শুনলেই আমরা অনেকে ভয় পেয়ে যাই। এই ভয়টা দূর করতে হবে। তাই আপনি উপভোগ করেন এমন কোনো শরীরচর্চা দিয়ে শুরু করা ভালো। আপনি আনন্দে থাকলে ব্যায়াম আপনার দৈনন্দিন কাজের অংশ হয়ে উঠবে, তখন আর এটাকে বোঝা মনে হবে না।



ব্যায়ামের ভীতি কাটানোর একটা ভালো উপায় হলো বন্ধু বা পরিবারের সাথে মিলে একসাথে শরীরচর্চা করা। যেমন দুই বন্ধু মিলে দৌড়ান বা সাঁতার কাটেন কিংবা পরিবারের সবাইকে নিয়ে হাঁটতে বের হন। এতে ব্যায়ামের শারীরবৃত্তীয় উপকারগুলো বেড়ে যায় এবং পাশাপাশি বন্ধু বা পরিবারের সাথে সম্পর্কটাও আরো ভালো হয়ে ওঠে, যা স্ট্রেস কমাতে আরো বেশি সাহায্য করে। 



তবে সব বয়সের জন্য সব ধরনের ব্যায়াম নয়। আপনার বয়স এবং শারীরিক সক্ষমতার ওপর নির্ভর করেই কোন ধরনের ব্যায়াম করবেন এবং কতক্ষণ করবেন সেটা ঠিক করে নেওয়া উচিত। প্রয়োজনে আপনার ডাক্তারকে জিজ্ঞাসা করুন, তিনি আপনাকে আপনার শরীরের ফিটনেস অনুযায়ী পরামর্শ দিবেন।",0.4120564669973293
"স্ট্রেস হওয়ার মূল কারণ স্নায়ু বা নার্ভ উত্তেজিত হওয়া। সব স্নায়ু উত্তেজিত হলে নিউরোট্রান্সমিটার 'এড্রেনালিন' ক্ষরণ বেড়ে যায়। ফলে বেড়ে যায় রক্তচাপ, ঘুমে সমস্যা, কমে যায় ক্ষুধা এবং বুক ধড়ফড় করা অনুভূত হয়।



প্রিন্সটন ইউনিভার্সিটির এক গবেষণায় দেখা যায়, কেউ স্ট্রেসের মধ্যে থাকলে তার আইকিউ লেভেল কমে যায়। কোনো পরীক্ষার আগে স্ট্রেসে থাকার কারণে পরীক্ষার্থীর মনে রাখার দক্ষতা কমে যায়।

প্রাকৃতিকভাবেই আমাদের শরীর এবং মনের জন্য স্ট্রেস একটি এলার্মিং সিস্টেম হিসেবে কাজ করে। স্ট্রেস অনুভব করলে আমাদের শরীর ফাইট অ্যান্ড ফ্লাইট রেসপন্সে (অ্যাকিউট স্ট্রেস রেসপন্স নামেও পরিচিত, একটি শারীরবৃত্তীয় প্রতিক্রিয়াকে বোঝায় যখন আমরা এমন কিছুর উপস্থিতিতে থাকি যা মানসিক বা শারীরিকভাবে আতঙ্কের) চলে যায় এবং তারপর শরীর একটি স্বয়ংক্রিয় শিথিল পর্যায়ে আসে। কিন্তু বর্তমানে টিভি, সোশ্যাল মিডিয়া, সংবাদ কিংবা আমাদের সাধারণ জীবনযাপন নিয়মিত স্ট্রেস নিয়ে আসতে পারে। যার কারণে এই স্ট্রেস নামক এলার্মটা বন্ধ হওয়ার সুযোগ পায়না। এক কথায় বলা যায়, স্ট্রেস হচ্ছে কারণ। আর ডিপ্রেশন ও দুশ্চিন্তা হলো তার প্রভাব। ডিপ্রেশন মনের সঙ্গে শরীরকে ক্ষতিগ্রস্ত করে।","স্ট্রেস হওয়ার মূল কারণ স্নায়ু বা নার্ভ উত্তেজিত হওয়া। সব স্নায়ু উত্তেজিত হলে নিউরোট্রান্সমিটার 'এড্রেনালিন' ক্ষরণ বেড়ে যায়। ফলে বেড়ে যায় রক্তচাপ, ঘুমে সমস্যা, কমে যায় ক্ষুধা এবং বুক ধড়ফড় করা অনুভূত হয়।



প্রিন্সটন ইউনিভার্সিটির এক গবেষণায় দেখা যায়, কেউ স্ট্রেসের মধ্যে থাকলে তার আইকিউ লেভেল কমে যায়। কোনো পরীক্ষার আগে স্ট্রেসে থাকার কারণে পরীক্ষার্থীর মনে রাখার দক্ষতা কমে যায়।

প্রাকৃতিকভাবেই আমাদের শরীর এবং মনের জন্য স্ট্রেস একটি এলার্মিং সিস্টেম হিসেবে কাজ করে। স্ট্রেস অনুভব করলে আমাদের শরীর ফাইট অ্যান্ড ফ্লাইট রেসপন্সে চলে যায় এবং তারপর শরীর একটি স্বয়ংক্রিয় শিথিল পর্যায়ে আসে। কিন্তু বর্তমানে টিভি, সোশ্যাল মিডিয়া, সংবাদ কিংবা আমাদের সাধারণ জীবনযাপন নিয়মিত স্ট্রেস নিয়ে আসতে পারে। যার কারণে এই স্ট্রেস নামক এলার্মটা বন্ধ হওয়ার সুযোগ পায়না। এক কথায় বলা যায়, স্ট্রেস হচ্ছে কারণ। আর ডিপ্রেশন ও দুশ্চিন্তা হলো তার প্রভাব। ডিপ্রেশন মনের সঙ্গে শরীরকে ক্ষতিগ্রস্ত করে।",0.4628180039138943
"কোনো কাজে উৎসাহ না থাকা বা ল্যাক অফ এনার্জি, অবসাদ বা ক্লান্তি। আবার ঘুম না আসা বা ইনসমনিয়া হতে পারে দুশ্চিন্তা বা ডিপ্রেশন- দুটোর জন্যই।","কোনো কাজে উৎসাহ না থাকা বা ল্যাক অফ এনার্জি, অবসাদ বা ক্লান্তি। আবার ঘুম না আসা বা ইনসমনিয়া হতে পারে দুশ্চিন্তা বা ডিপ্রেশন- দুটোর জন্যই।",0.0
স্ট্রেস ম্যানেজমেন্ট করতে জানা অনেক প্রয়োজন। স্ট্রেসকে এমন একটা পর্যায়ে চলে যেতে দেওয়া যাবে না যাতে করে মেডিকেল সহায়তা নিতে হয় কিংবা জীবনকে অপ্রীতিকর অবস্থার সম্মুখীন হতে হয়। স্ট্রেস ম্যানেজমেন্ট হলো স্ট্রেসের সঙ্গে মোকাবিলা করা। এর জন্য বাড়াতে হবে নিজের কোপিং স্কিলস। কোপিং স্কিলগুলোকে বাড়ানোর প্রধান উপায় হচ্ছে নেতিবাচক চিন্তাগুলোকে ইতিবাচক করা।,স্ট্রেস ম্যানেজমেন্ট করতে জানা অনেক প্রয়োজন। স্ট্রেসকে এমন একটা পর্যায়ে চলে যেতে দেওয়া যাবে না যাতে করে মেডিকেল সহায়তা নিতে হয় কিংবা জীবনকে অপ্রীতিকর অবস্থার সম্মুখীন হতে হয়। স্ট্রেস ম্যানেজমেন্ট হলো স্ট্রেসের সঙ্গে মোকাবিলা করা। এর জন্য বাড়াতে হবে নিজের কোপিং স্কিলস। কোপিং স্কিলগুলোকে বাড়ানোর প্রধান উপায় হচ্ছে নেতিবাচক চিন্তাগুলোকে ইতিবাচক করা।,0.0
